Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0127930441628704,0.0021602273711325,0.0863273002317186,0,0,0,0.0958764901389707,0.000268870236141251,1.10632697058486E-06,2.45073038253268E-05,0.000196585460944007,7.03196557506689E-07,0.000103189294955727,0,0,0,0,0,0,meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,meshes/base_link.STL,,镜向L20_8手掌装配-1/镜向L20.8版 外壳1129-1/镜向L20.8版中壳1129-1;镜向L20_8手掌装配-1/镜向L20.8版 外壳1129-1/镜向L20.8版前壳1129-1;镜向L20_8手掌装配-1/镜向L20.8版 外壳1129-1/镜向L20.8版后壳1129-1;镜向L20_8手掌装配-1/镜向L20.8版 外壳1129-1/镜向L20.8版后壳硅胶A-1;镜向L20_8手掌装配-1/镜向L20.8版 外壳1129-1/镜向L20.8版后壳硅胶B-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link0,0.0155790258185461,-0.0035327846142178,-0.00267486257157412,0,0,0,0.0124417484876997,4.71847444755046E-06,-1.34275573106065E-07,-1.4155261879548E-07,2.90451412764793E-06,-4.21084798523185E-07,2.22075918214872E-06,0,0,0,0,0,0,meshes/thumb_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link0.STL,,镜向L20_8拇指装配-1/镜向替换8版整体2.sldasm-Part-411-1;镜向L20_8拇指装配-1/镜向替换8版整体2.sldasm-Part-379-1;镜向L20_8拇指装配-1/镜向替换8版整体2.sldasm-Part-64-1,坐标系2,基准轴2,thumb_joint0,revolute,-0.00061519,-0.0050819,0.057392,0,0,0,base_link,1,0,0,100,1,-1.05,0.49,,,,,,,,
thumb_link1,0.000857564128510006,-0.00946442687786838,0.0108456836981784,0,0,0,0.00442377542267625,6.99581079701511E-07,7.42288714908881E-08,-4.62976227793639E-08,3.47206225653112E-07,1.09734306409342E-07,5.16586338768017E-07,0,0,0,0,0,0,meshes/thumb_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link1.STL,,镜向L20_8拇指装配-1/镜向替换8版整体2.sldasm-Part-454-1;镜向L20_8拇指装配-1/镜向替换8版整体2.sldasm-Part-370-1,坐标系3,基准轴3,thumb_joint1,revolute,0.024508,-0.00083336,-0.012686,0,0,0,thumb_link0,0,0,1,100,1,0,1.45,,,,,,,,
thumb_link2,0.0106870418318758,0.0269834538803911,0.00033048215606199,0,0,0,0.0224622874446452,9.09615771421735E-06,-2.05685590098844E-09,-2.73866603653734E-08,2.34037709683591E-06,5.93739915193086E-07,7.61753276147539E-06,0,0,0,0,0,0,meshes/thumb_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link2.STL,,镜向L20_8拇指装配-1/镜向拇指外壳A-1/镜向替换8版整体2.sldasm-Part-432-1;镜向L20_8拇指装配-1/镜向拇指外壳A-1/镜向替换8版整体2.sldasm-Part-431-1;镜向L20_8拇指装配-1/镜向拇指外壳A-1/镜向替换8版整体2.sldasm-Part-409-1,坐标系4,基准轴4,thumb_joint2,revolute,0.01108,-0.03081,0.016584,0.61686,0,-3.1416,thumb_link1,1,0,0,100,1,0,0.84,,,,,,,,
thumb_link3,0.00967485658407713,0.0128741665018989,-0.000932984044305266,0,0,0,0.00518362014824185,6.23755408634655E-07,5.2521398276564E-09,1.35993510685363E-09,2.50989207103949E-07,-8.65213573900126E-08,4.59924364086266E-07,0,0,0,0,0,0,meshes/thumb_link3.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link3.STL,,镜向L20_8拇指装配-1/镜向拇指外壳B-1/镜向替换8版整体2.sldasm-Part-373-1;镜向L20_8拇指装配-1/镜向拇指外壳B-1/镜向替换8版整体2.sldasm-Part-365-1;镜向L20_8拇指装配-1/镜向拇指外壳B-1/镜向替换8版整体2.sldasm-Part-358-1,坐标系5,基准轴5,thumb_joint3,revolute,0.0011,0.05623,0,-0.17823,0,0,thumb_link2,1,0,0,100,1,0,1.32,,,,,,,,
thumb_link4,0.00797760775773447,0.0120213324367316,0.00139546271700011,0,0,0,0.00615540426567079,3.79430069117311E-07,-8.63013196643264E-10,1.37707761802008E-10,2.43498408560641E-07,7.91410125061617E-08,4.18049977334004E-07,0,0,0,0,0,0,meshes/thumb_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link4.STL,,镜向L20_8拇指装配-1/镜向拇指指尖传感器他山-1/镜向指尖传感器他山.sldasm-Part-33-1-1;镜向L20_8拇指装配-1/镜向拇指指尖传感器他山-1/镜向指尖传感器他山.sldasm-Part-35-1-1;镜向L20_8拇指装配-1/镜向拇指指尖传感器他山-1/镜向指尖传感器他山.sldasm-Part-31-1-1;镜向L20_8拇指装配-1/镜向拇指指尖传感器他山-1/镜向指尖传感器他山.sldasm-Part-37-1-1;镜向L20_8拇指装配-1/镜向拇指指尖传感器他山-1/镜向指尖传感器他山.sldasm-Part-34-1-1,坐标系6,基准轴6,thumb_joint4,revolute,0.0020324,0.034203,0,-0.1458,0,0,thumb_link3,1,0,0,100,1,0,1.34,,,,,,,,
thumb_link5,0.000999981191460296,6.13324756065792E-06,-2.77555756156289E-17,0,0,0,1.57079632679489E-06,1.96365543907445E-13,-2.60918166616749E-15,5.95589983441864E-29,6.21757542964894E-13,1.26217744835362E-29,6.21773546022978E-13,0,0,0,0,0,0,meshes/thumb_link5.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link5.STL,,镜向L20_8拇指装配-1/镜向指尖块-1,坐标系7,基准轴7,thumb_joint5,fixed,0.0069527,0.036617,0,0,-0.01634,0,thumb_link4,0,0,0,,,,,,,,,,,,
index_link0,0.0111955668518647,4.36805173843757E-07,0.00228165749649656,0,0,0,0.000844047194014736,3.44185859241875E-08,3.87580651612361E-12,-4.64539463100038E-09,2.42686688128729E-08,-8.7474654765232E-13,3.96034346199714E-08,0,0,0,0,0,0,meshes/index_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link0.STL,,镜向L20_8食指装配-1/镜向替换8版整体2.sldasm-Part-393-1,坐标系8,基准轴8,index_joint0,revolute,-0.029165,-0.026698,0.15931,-0.00090076,0,0,base_link,1,0,0,100,1,-0.26,0.26,,,,,,,,
index_link1,-0.00105237534023375,0.00473636467392175,0.0231603662859881,0,0,0,0.00458736665649153,7.11406022693714E-07,6.99615417801572E-12,1.84957484641854E-08,7.21768620684862E-07,1.56587924110898E-10,1.39111133926183E-07,0,0,0,0,0,0,meshes/index_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link1.STL,,镜向L20_8食指装配-1/镜向食指关节A-1,坐标系9,基准轴9,index_joint1,revolute,0.01637,-0.004725,0,0,0,0,index_link0,0,1,0,100,1,0,1.66,,,,,,,,
index_link2,-0.000202635841371351,0.0037545878248961,0.0168357728740804,0,0,0,0.00240971024158169,2.37810060344525E-07,-4.32591842006737E-12,1.38370629436306E-08,1.8347324763423E-07,7.42090955084912E-12,9.87766299575892E-08,0,0,0,0,0,0,meshes/index_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link2.STL,,镜向L20_8食指装配-1/镜向食指关节B-1,坐标系10,基准轴10,index_joint2,revolute,-0.0041603,0.00097534,0.044823,0,0,0,index_link1,0,1,0,100,1,0,1.36,,,,,,,,
