Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0127852022516513,-0.00212998519270446,0.0863282588039704,0,0,0,0.0957971023654674,0.000268685286309519,-1.13407714567758E-06,2.44956294621905E-05,0.000196532055872912,-6.75438153053795E-07,0.000103035175143753,0,0,0,0,0,0,meshes/base_link.STL,0.792156862745098,0.819607843137255,0.925490196078431,1,0,0,0,0,0,0,meshes/base_link.STL,,L20_8手掌装配-1/L20.8版 外壳1129-1/L20.8版中壳1129-1;L20_8手掌装配-1/L20.8版 外壳1129-1/L20.8版前壳1129-1;L20_8手掌装配-1/L20.8版 外壳1129-1/L20.8版后壳1129-1;L20_8手掌装配-1/L20.8版 外壳1129-1/L20.8版后壳硅胶B-1;L20_8手掌装配-1/L20.8版 外壳1129-1/L20.8版后壳硅胶A-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link0,0.0161038298946624,0.00352514373565277,-0.00248013283577719,0,0,0,0.0134198541501984,4.7929461523852E-06,1.19250117849948E-07,-1.41533250611859E-07,2.92518195094517E-06,4.21076037530795E-07,2.30581167878104E-06,0,0,0,0,0,0,meshes/thumb_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link0.STL,,L20_8拇指装配-1/替换8版整体2.sldasm-Part-64-2;L20_8拇指装配-1/替换8版整体2.sldasm-Part-411-2;L20_8拇指装配-1/替换8版整体2.sldasm-Part-379-1;L20_8拇指装配-1/替换8版整体2.sldasm-Part-379-2,坐标系2,基准轴2,thumb_joint0,revolute,-0.00061519,0.0050818,0.057392,0,0,0,base_link,1,0,0,100,1,-0.49,1.05,,,,,,,,
thumb_link1,0.000856701469321857,0.00946477311999894,0.0114156470010393,0,0,0,0.00442300540798978,6.99563771064084E-07,-7.42312482263846E-08,-4.6309655191552E-08,3.47192012474048E-07,-1.09730640194532E-07,5.16573414709743E-07,0,0,0,0,0,0,meshes/thumb_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link1.STL,,L20_8拇指装配-1/替换8版整体2.sldasm-Part-454-1;L20_8拇指装配-1/替换8版整体2.sldasm-Part-370-1,坐标系3,基准轴3,thumb_joint1,revolute,0.024508,0.00083336,-0.013255,0,0,0,thumb_link0,0,0,1,100,1,-1.45,0,,,,,,,,
thumb_link2,-0.0106878010457298,0.0269837379180417,0.000327955695968538,0,0,0,0.0224669129429034,9.09616935270073E-06,2.0317056447811E-09,2.7626870546033E-08,2.34098840001264E-06,5.93754580112927E-07,7.61712507477213E-06,0,0,0,0,0,0,meshes/thumb_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link2.STL,,L20_8拇指装配-1/拇指外壳A-3/替换8版整体2.sldasm-Part-432-1;L20_8拇指装配-1/拇指外壳A-3/替换8版整体2.sldasm-Part-409-1;L20_8拇指装配-1/拇指外壳A-3/替换8版整体2.sldasm-Part-431-1,坐标系4,基准轴4,thumb_joint2,revolute,0.01108,0.03081,0.017153,0.61686,0,0,thumb_link1,1,0,0,100,1,0,0.84,,,,,,,,
thumb_link3,-0.00967480044776162,0.0128718586711236,-0.000963407059747318,0,0,0,0.00518360937740691,6.23751031228032E-07,-5.2547521447373E-09,-1.34738633718385E-09,2.50579523555663E-07,-8.60266674351565E-08,4.60329834414616E-07,0,0,0,0,0,0,meshes/thumb_link3.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link3.STL,,L20_8拇指装配-1/拇指外壳B-1/替换8版整体2.sldasm-Part-373-1;L20_8拇指装配-1/拇指外壳B-1/替换8版整体2.sldasm-Part-358-1;L20_8拇指装配-1/拇指外壳B-1/替换8版整体2.sldasm-Part-365-1,坐标系5,基准轴5,thumb_joint3,revolute,-0.0011,0.05623,0,-0.17586,0,0,thumb_link2,1,0,0,100,1,0,1.32,,,,,,,,
thumb_link4,-0.00797759287268471,0.0120956330468776,-0.000394493754244635,0,0,0,0.0061553953329027,3.79428632163905E-07,8.34962528505451E-10,-2.63474319464388E-10,2.7041186666417E-07,1.0117677474908E-07,3.91134422174777E-07,0,0,0,0,0,0,meshes/thumb_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link4.STL,,L20_8拇指装配-1/拇指指尖传感器他山-1/指尖传感器他山.sldasm-Part-33-1-1;L20_8拇指装配-1/拇指指尖传感器他山-1/指尖传感器他山.sldasm-Part-31-1-1;L20_8拇指装配-1/拇指指尖传感器他山-1/指尖传感器他山.sldasm-Part-37-1-1;L20_8拇指装配-1/拇指指尖传感器他山-1/指尖传感器他山.sldasm-Part-35-1-1;L20_8拇指装配-1/拇指指尖传感器他山-1/指尖传感器他山.sldasm-Part-34-1-1,坐标系6,基准轴6,thumb_joint4,revolute,-0.0020324,0.034203,-8.0964E-05,0,0,0,thumb_link3,1,0,0,100,1,0,1.34,,,,,,,,
thumb_link5,-0.00099996406000857,8.47813016183196E-06,-4.20496970576778E-15,0,0,0,1.5707963267949E-06,1.96380119769991E-13,3.60667046145221E-15,7.34330895147609E-28,6.21742967102352E-13,5.04870979341448E-29,6.21773546022981E-13,0,0,0,0,0,0,meshes/thumb_link5.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_link5.STL,,L20_8拇指装配-1/指尖块-1,坐标系7,基准轴7,thumb_joint5,fixed,-0.0069527,0.036217,-0.0053966,0,0.015256,0,thumb_link4,0,0,0,,,,,,,,,,,,
index_link0,0.01119545448323,-2.49545246543137E-06,0.00228191059901953,0,0,0,0.000844065873674483,3.44196456198902E-08,5.94690101880181E-12,-4.64509418140413E-09,2.42668460426182E-08,-1.49351695499305E-11,3.9601279786953E-08,0,0,0,0,0,0,meshes/index_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link0.STL,,L20_8食指装配-1/替换8版整体2.sldasm-Part-393-1,坐标系8,基准轴8,index_joint0,revolute,-0.029165,0.026698,0.15931,0,0,0,base_link,1,0,0,100,1,-0.26,0.26,,,,,,,,
index_link1,-0.00105239665196925,0.00471408033085759,0.0231603281397831,0,0,0,0.00458737493263999,7.11408482528543E-07,-8.88839355935608E-12,1.84973047088867E-08,7.21772115760736E-07,-1.62351238014529E-10,1.39112157672835E-07,0,0,0,0,0,0,meshes/index_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link1.STL,,L20_8食指装配-1/食指关节A-1,坐标系9,基准轴9,index_joint1,revolute,0.01637,-0.004725,0,0.00090091,0,0,index_link0,0,1,0,100,1,0,1.66,,,,,,,,
index_link2,-0.000202761525458138,0.0037452006452898,0.0168359467232476,0,0,0,0.00240966144854405,2.37801958143131E-07,6.89014231543693E-12,1.38363274057676E-08,1.83468458086625E-07,-1.097479750177E-11,9.87740944678122E-08,0,0,0,0,0,0,meshes/index_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link2.STL,,L20_8食指装配-1/食指关节B-1,坐标系10,基准轴10,index_joint2,revolute,-0.0041603,0.00097466,0.044823,0,0,0,index_link1,0,1,0,100,1,0,1.36,,,,,,,,
index_link3,-0.00922986560355689,0.00504641978922789,0.01038005922224,0,0,0,0.00495950337459496,3.0981318768919E-07,3.09073465214372E-11,1.13938281046898E-07,3.37399421168623E-07,-8.57532751575146E-11,1.94461553503597E-07,0,0,0,0,0,0,meshes/index_link3.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link3.STL,,L20_8食指装配-1/四指指尖传感器-1/指尖传感器他山.sldasm-Part-10^四指指尖传感器-1;L20_8食指装配-1/四指指尖传感器-1/指尖传感器他山.sldasm-Part-11-1;L20_8食指装配-1/四指指尖传感器-1/指尖传感器他山.sldasm-Part-12-1;L20_8食指装配-1/四指指尖传感器-1/指尖传感器他山.sldasm-Part-8^四指指尖传感器-1;L20_8食指装配-1/四指指尖传感器-1/指尖传感器他山.sldasm-Part-13-1,坐标系11,基准轴11,index_joint3,revolute,0.0027804,-0.0012747,0.0317,0,0,0,index_link2,0,1,0,100,1,0,1.48,,,,,,,,
index_link4,-1.86380633149241E-11,-0.00100000002734269,-2.95946600559205E-12,0,0,0,1.5707963267949E-06,6.2177354602298E-13,1.23296295996537E-28,3.61532738108867E-30,1.96349540849362E-13,-1.05892090805292E-22,6.2177354602298E-13,0,0,0,0,0,0,meshes/index_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_link4.STL,,L20_8食指装配-1/四指指尖传感器-1/指尖块-1,坐标系12,基准轴12,index_joint4,fixed,-0.016085,0.00605,0.03333,0,0,0,index_link3,0,0,0,,,,,,,,,,,,
middle_link0,0.0111954544832301,-4.39666709647207E-07,0.00228191192115146,0,0,0,0.000844065873674484,3.44196456198903E-08,1.7621098795775E-12,-4.64509765394827E-09,2.42668315781751E-08,-1.12028237715939E-12,3.96012942513964E-08,0,0,0,0,0,0,meshes/middle_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link0.STL,,L20_8食指装配-3/替换8版整体2.sldasm-Part-393-1,坐标系13,基准轴13,middle_joint0,revolute,-0.033899,0.0050981,0.1638,0.00090091,0,0,base_link,1,0,0,100,1,-0.26,0.26,,,,,,,,
middle_link1,-0.00105236331065115,0.00471408033272567,0.0231603296543958,0,0,0,0.00458737493263985,7.11408535683702E-07,-8.88862647831751E-12,1.84964804526895E-08,7.21772107136305E-07,-1.62351272181229E-10,1.3911209589334E-07,0,0,0,0,0,0,meshes/middle_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link1.STL,,L20_8食指装配-3/食指关节A-1,坐标系14,基准轴14,middle_joint1,revolute,0.01637,-0.004725,0,0,0,0,middle_link0,0,1,0,100,1,0,1.66,,,,,,,,
